CODE;ENGLISH;;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVTDESC200001;Romantic sentiment and evolving nationalistic spirit of our people have evoked a high interest in the medieval age, which is seen as the root of the German culture. A symbol of these far away and backward times are the cathedrals of gothic architectural style. Cologne, once the biggest German city, and one of the finest places in the times of the Holy Roman Empire, has one of the greatest cathedrals in human history-which is a large, abandoned construction area. Founded in the 13th century, the building work was suspended in the 1530s. Even the old construction crane is there above! Since 1814, when the construction plans were found again by Georg Moller in Darmstadt, there were several voices to revive the work of our ancestors-and new founded societies have argued, that this project should not be only a private intention. Maybe we should give state support, and finish this great gothic masterpiece, in the name of the German nation!;;;;;;;;;;;;;x
EVTNAME200001;Der Dom zu Köln;;;;;;;;;;;;;x
EVTOPTA200001;Dô jehürt ne Schpitz drop! (Aye);;;;;;;;;;;;;x
EVTOPTB200001;Da sollte sich mal wer drum kümmern… (Nay);;;;;;;;;;;;;x
EVTDESC200002;Today, our $MONARCHTITLE$ laid the second corner stone of the Cologne cathedral, after 300 years of building freeze. ‘Here, where the corner stone lies, there should be the towers, which will form the most beautiful gate in the whole world!’;;;;;;;;;;;;;x
EVTNAME200002;The work resumes;;;;;;;;;;;;;x
EVTOPTA200002;Nisch kleckern-klotzen, jong! (Go ahead);;;;;;;;;;;;;x
EVTDESC200003;In a celebration, the Cathedral of Cologne was inaugurated today. This shows clearly the high cultural and technical standard of our great nation!;;;;;;;;;;;;;x
EVTNAME200003;The completion of the cathedral;;;;;;;;;;;;;x
EVTOPTA200003;Nä, watt is dä schön… su jett Schönes han isch att nie jesin! (Beautiful!);;;;;;;;;;;;;x
EVTDESC200005;A debate is being held in the parliament of our new-born nation. Nationalists, liberals, monarchists and conservatives argued in an open turmoil regarding the new anthem of Germany. Several songs have been nominated, but each has a different meaning for different political groups. Intellectuals are convinced, that the new anthem will have a heavy influence on our people, and will be a symbol of Germany in the world. The struggle between monarchists and liberals has been settled by some moderate conservatives, who proposed other suggestions for the anthem. In the end, we have now four nominations, the first proposed by the monarchists, the second by the liberals, and the other two as a way to strike a balance.;;;;;;;;;;;;;x
EVTNAME200005;The German Anthem;;;;;;;;;;;;;x
EVTOPTA200005;‘Heil dir im Siegerkranz’ sounds good.;;;;;;;;;;;;;x
EVTOPTB200005;‘Deutschland, Deutschland über alles’ seems to be a classic.;;;;;;;;;;;;;x
EVTOPTC200005;‘Was ist des Deutschen Vaterland?’ is clearly the best!;;;;;;;;;;;;;x
EVTOPTD200005;I like ‘Die Wacht am Rhein’…;;;;;;;;;;;;;x
EVTDESC200006;In 1845, the greatest living musicians of Germany fulfilled their project to erect a monument in memory of Ludwig van Beethoven, born in the city of Bonn in 1770. Beethoven is viewed by many as the most influential compositor of the 19th century. The inauguration of the monument was celebrated with a great music feast, in which Franz Liszt took part. High ranking monarchs of the German states and whole Europe joint the festivity, which was marked by unbelievable musical mastery, scandals and diplomatic issues between the great powers. Anyway, Beethoven was a symbol of the unending German national spirit, and the values of liberty and democracy.;;;;;;;;;;;;;x
EVTNAME200006;The First ‘Beethovenfest’;;;;;;;;;;;;;x
EVTOPTA200006;Ta-ta-ta-daaa!;;;;;;;;;;;;;x
EVTDESC200007;When King William died, Princess Victoria became Queen of the United Kingdom. Ernest Augustus became the King of Hanover. Many Hanoverians were of a liberal perspective, and would have preferred the popular viceroy, the Duke of Cambridge, to become king, but both of Ernest’s younger brothers refused to lend themselves to any movement by which they would become king rather than their elder brother. Hanover had received its first constitution, granted by the Prince Regent, in 1819. This did little more than denote Hanover’s change from an electorate to a kingdom, granted by the Congress of Vienna. The Duke of Cambridge, as King William’s viceroy in Hanover, recommended a thorough reorganisation of the Hanoverian government. William IV had given his consent to a new constitution in 1833. The Duke of Cumberland’s consent was neither asked nor received, and he had formally protested against the constitution’s adoption without his consent.;;;;;;;;;;;;;x
EVTNAME200007;The Constitution of Hanover;;;;;;;;;;;;;x
EVTDESC200008;About one month after he succeeded to the throne, King Ernest addressed the matter of the Constitution. He stated that he was not bound by it, as his consent had not been asked to it. He also indicated that it would have been different, or perhaps even non-existent, had he been in power at the time of its composition. He declared that it was his aim and ambition to make the necessary changes to the constitution and rewrite it to reflect his values. Hearing this, Friedrich Christoph Dahlmann—a famous German historian—made an attempt to persuade his colleagues at the University of Göttingen senate to disapprove of the king’s intent to change the constitution, and take some form of action. At first, none of his colleagues were willing to support him. But when King Ernest annulled the constitution, Dahlmann again appealed to the university, and composed a protestation in regards to opposing Augustus’ decision. This time, he received a better response, six other professors were now willing to sign as opposers. These six, plus Dahlmann, would become known as the Göttingen Seven.;;;;;;;;;;;;;x
EVTNAME200008;The Göttinger Seven Protest;;;;;;;;;;;;;x
EVTDESC200009;Immediately upon his arrival in Hanover, the new King Ernest August dissolved the parliament which had been convened under the disputed constitution. He proclaimed the suspension of the constitution, on the ground that his consent had not been asked, and that it did not meet the kingdom’s needs. The King issued a patent, declaring the constitution void, but upholding all laws passed under it. The 1819 constitution was restored. In carrying the King’s patent into effect, the Cabinet required all officeholders (including professors at Göttingen University) to renew their oaths of allegiance to the King. Seven professors (including the two Brothers Grimm) refused to take the oaths, and agitated for others to protest against the King’s decree. Since they did not take the oaths, the seven lost their positions, and the King expelled the three most responsible (including Jacob Grimm) from Hanover. However, he was widely criticised in other parts of Germany and Europe.;;;;;;;;;;;;;x
EVTNAME200009;The Göttinger Seven;;;;;;;;;;;;;x
EVTDESC200010;Immediately upon his arrival in Hanover, the new King Ernest August dissolved the parliament which had been convened under the disputed constitution. He proclaimed the suspension of the constitution, on the ground that his consent had not been asked, and that it did not meet the kingdom’s needs. The King issued a patent, declaring the constitution void, but upholding all laws passed under it. The 1819 constitution was restored. In carrying the King’s patent into effect, the Cabinet required all officeholders (including professors at Göttingen University) to renew their oaths of allegiance to the King. Seven professors (including the two Brothers Grimm) refused to take the oaths, and agitated for others to protest against the King’s decree. In the House of Commons, MP Colonel Thomas Perronet Thompson proposed to Parliament that if the as-yet-childless Queen Victoria died, making Ernest the British King, the Parliament should declare that King Ernest had forfeited all rights to the British Throne by his actions.;;;;;;;;;;;;;x
EVTNAME200010;The Göttinger Seven in Hanover;;;;;;;;;;;;;x
EVTDESC200011;Remember our heroes! Remember the Göttinger Seven! Praise their virtues!’ When Professor Dahlmann published his documents against the King of Hanover, it received popular support by German students and liberals. It had an explosive influence in the German states of the German Confederation. The students at the university of Göttingen produced many hundreds, or even thousands, of copies and disseminated them across Germany.;;;;;;;;;;;;;x
EVTNAME200011;The Famous Göttinger Seven;;;;;;;;;;;;;x
EVTDESC200012;History shows us noble and free men, who dared to say the full truth in the face of the King. The permission has one, who has courage.’ After their struggle in Hanover, some of the Göttinger Seven searched a new university where they could continue their work, namely Dahlmann, Gervinus and Jacob Grimm.;;;;;;;;;;;;;x
EVTNAME200012;The Göttinger Seven Seek Refuge;;;;;;;;;;;;;x
EVTOPTA200012;We welcome them.;;;;;;;;;;;;;x
EVTDESC200013;Now, that Germany is united and liberal thoughts are not more seen as a thread, but a basis of our values, the Göttinger Seven are viewed as national heroes. They are remembered by the politicians as spearheads of our liberal constitution and the people see them as upright Germans, who fought for their rights.;;;;;;;;;;;;;x
EVTNAME200013;Aftermath of the Göttinger Seven;;;;;;;;;;;;;x
EVTDESC200014;In 1836, the states of the German Confederation were in the middle of the so-called ‘Vormärz’ (pre-March). The name derived from the later (failed) revolution in the march of 1848, and was a period which was shaped by the Austrian and Prussian police states, the censorship of the press and restricted freedoms. But it was also the time of German romanticism, evolving nationalism and great personalities, which made Germany to the land of poets and thinkers. German culture blossomed, intellectuals stood up against reactionary governments, and such ideas as national unity and wider suffrage became topics of a new liberal and democratic movement.;;;;;;;;;;;;;x
