CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
boots;Boots;;;;;;;;;;;;;x
bronze;Bronze;;;;;;;;;;;;;x
cattle;Livestock;;;;;;;;;;;;;x
cattle_RGO_SIZE;Livestock Ranch Size;;;;;;;;;;;;;x
cigarettes;Cigarettes;;;;;;;;;;;;;x
cigars;Cigars;;;;;;;;;;;;;x
coal_RGO_SIZE;Coal Mine Size;Taille de la mine de charbon;Kohlengrube-Größe;;;;;;;;;;;x
coffee_RGO_SIZE;Coffee Plantation Size;Taille de la plantation de café;Kaffeeplantage-Größe;;;;;;;;;;;x
copper;Copper;;;;;;;;;;;;;x
copper_RGO_SIZE;Copper Mine Size;;;;;;;;;;;;;x
cotton_RGO_SIZE;Cotton Plantation Size;Taille de la plantation de coton;Baumwollplantage-Größe;;;;;;;;;;;x
dye_RGO_SIZE;Dye Plantation Size;Taille de la plantation de plantes tinctoriales;Farbstoffplantage-Größe;;;;;;;;;;;x
electric_power;Electric Power;;;;;;;;;;;;;x
financial_services;Financial Services;;;;;;;;;;;;;x
fish_RGO_SIZE;Fishing Wharf Size;Taille du quai de pêche;Fischereihafen-Größe;;;;;;;;;;;x
fruit_RGO_SIZE;Orchard Size;Taille du verger;Obstgarten-Größe;;;;;;;;;;;x
grain;Food Crops;;;;;;;;;;;;;x
grain_RGO_SIZE;Grain Farm Size;Taille de la ferme céréalière;Getreidefarm-Größe;;;;;;;;;;;x
gunpowder;Gunpowder;;;;;;;;;;;;;x
horses;Horses;;;;;;;;;;;;;x
iron_RGO_SIZE;Iron Mine Size;Taille de la mine de fer;Eisenerzmine-Größe;;;;;;;;;;;x
lead;Lead;;;;;;;;;;;;;x
liquor;Beverages;;;;;;;;;;;;;x
oil_RGO_SIZE;Oil rig Size;Taille du puits de pétrole;Ölbohrplattform-Größe;;;;;;;;;;;x
opium_RGO_SIZE;Opium Plantation Size;Taille de la plantation d'opium;Opiumplantage-Größe;;;;;;;;;;;x
precious_goods;Precious Goods;;;;;;;;;;;;;x
precious_goods_RGO_SIZE;Precious Goods Market Size;;;;;;;;;;;;;x
precious_metal;Precious Metals;;;;;;;;;;;;;x
precious_metal_desc;Gold, silver, diamonds, pearls and other precious goods are not sold as normal goods but are directly converted to money.;;;;;;;;;;;;;x
precious_metal_RGO_SIZE;Precious Metals Mine Size;;;;;;;;;;;;;x
print;Print;;;;;;;;;;;;;x
rubber_RGO_SIZE;Rubber Lodge Size;Taille de l'exploitation de caoutchouc;Gummiplantage-Größe;;;;;;;;;;;x
shares;Shares;;;;;;;;;;;;;x
shoes;Shoes;;;;;;;;;;;;;x
silk_RGO_SIZE;Silkworm Ranch Size;Taille de l'élevage de vers à soie;Seidenraupenfarm-Größe;;;;;;;;;;;x
spices;Spices;;;;;;;;;;;;;x
spices_RGO_SIZE;Spice Farm Size;;;;;;;;;;;;;x
sugar;Sugar;;;;;;;;;;;;;x
sulphur_RGO_SIZE;Sulphur Mine Size;Taille de la mine de soufre;Schwefelmine-Größe;;;;;;;;;;;x
tea_RGO_SIZE;Tea Plantation Size;Taille de la plantation de thé;Teeplantage-Größe;;;;;;;;;;;x
timber;Wood;;;;;;;;;;;;;x
timber_RGO_SIZE;Wood Lodge Size;;;;;;;;;;;;;x
tobacco_RGO_SIZE;Tobacco Plantation Size;Taille de la plantation de tabac;Tabakplantage-Größe;;;;;;;;;;;x
tropical_wood_RGO_SIZE;Tropical Wood Lodge Size;Taille de l'exploitation de bois exotique;Tropenholzfällerlager-Größe;;;;;;;;;;;x
wool_RGO_SIZE;Sheep Ranch Size;Taille de l'élevage de moutons;Schafsranch-Größe;;;;;;;;;;;x
