CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
absolute_monarchy;Absolute Monarchy;;;;;;;;;;;;;x
absolute_monarchy_gov;Absolute Monarchy;;;;;;;;;;;;;x
absolute_monarchy_ruler;King;;;;;;;;;;;;;x
absolute_monarchy2;Absolute Monarchy;;;;;;;;;;;;;x
absolute_monarchy2_ruler;King;;;;;;;;;;;;;x
absolute_monarchy3;Absolute Monarchy;;;;;;;;;;;;;x
absolute_monarchy3_ruler;King;;;;;;;;;;;;;x
anarchist;Syndicalist;;;;;;;;;;;;;x
anarchist_group;Anarchist Federations & Trade Unions;;;;;;;;;;;;;x
anarcho_liberal;Radical;;;;;;;;;;;;;x
anarcho_liberal_gov;Anarcho-Liberal Regime;;;;;;;;;;;;;x
anarcho_liberal_uh;Radicals want to see social reforms rolled back, and will never support further reforms of any kind.;Les anarcho-libéraux veulent davantage de réformes politiques et le retrait des réformes sociales.;Radicale sind an zusätzlichen Politikreformen interessiert, setzen sich aber für die Außerkraftsetzung von Sozialreformen ein.;;;;;;;;;;;x
bourgeois_dictatorship;Bourgeois Dictatorship;Dictature bourgeoise;Bürgerliche Diktatur;;;;;;;;;;;x
bourgeois_dictatorship_ruler;Board Director;;;;;;;;;;;;;x
bourgeois_dictatorship2;Absolute Democracy;;;;;;;;;;;;;x
bourgeois_dictatorship2_ruler;Tyrant;;;;;;;;;;;;;x
bourgeois_dictatorship3;Absolute Democracy;;;;;;;;;;;;;x
bourgeois_dictatorship3_ruler;Tyrant;;;;;;;;;;;;;x
chartered_company;Chartered Company;Chartered Company;Chartered Company;;;;;;;;;;;x
chartered_company_ruler;Director;Director;Director;;;;;;;;;;;x
colonial_company;Autonomous Dependency;;;;;;;;;;;;;x
colonial_company_ruler;Governor;;;;;;;;;;;;;x
communist;Communists;;;;;;;;;;;;;x
communist_gov;Communist Regime;;;;;;;;;;;;;x
communist_group;Far-Left Parties;;;;;;;;;;;;;x
communist_uh;Communists want to enact social reforms, but want to see political reforms rolled back.;Les communistes veulent davantage de réformes sociales et le retrait des réformes politiques.;Kommunisten sind an zusätzlichen Sozialreformen interessiert, setzen sich aber für die Außerkraftsetzung von Politikreformen ein.;;;;;;;;;;;x
conservative;Conservative;;;;;;;;;;;;;x
conservative_group;Conservative Parties;;;;;;;;;;;;;x
