CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
ION_1;Ionian islands;;;;;;;;;;;;;x
CANAL_1;Kiel Canal;Canal de Kiel;Nord-Ostsee-Kanal;;;;;;;;;;;x
USA_1;Alyaska;Alaska;Alaska;;;;;;;;;;;x
CANAL_2;Suez Canal;Canal de Suez;Suezkanal;;;;;;;;;;;x
CANAL_3;Panama Canal;Canal de Panama;Panamakanal;;;;;;;;;;;x
CANAL_4;Bosphorus Strait;;;;;;;;;;;;;x
CANAL_5;Dardanelles Strait;;;;;;;;;;;;;x
ENG_6;Yukon;;;;;;;;;;;;;x
CANAL_6;English Channel;;;;;;;;;;;;;x
ENG_9;Northwest Territories;Territoires du N-O;Northwest Territories;;;;;;;;;;;x
ENG_13;Columbia;;;;;;;;;;;;;x
CAN_13;Columbia;;;;;;;;;;;;;x
CAN_18;New Caledonia;;;;;;;;;;;;;x
CAN_19;New Caledonia;;;;;;;;;;;;;x
ENG_22;Alberta;Alberta;Alberta;;;;;;;;;;;x
ENG_30;Saskatchewan;Saskatchewan;Saskatchewan;;;;;;;;;;;x
ENG_36;Manitoba;Manitoba;Manitoba;;;;;;;;;;;x
ENG_43;Nunavut;Nunavut;Nunavut;;;;;;;;;;;x
ENG_44;Nunavut Territory;Nunavut;Nunavut Territory;;;;;;;;;;;x
ENG_46;Upper Canada;;;;;;;;;;;;;x
CAN_46;Upper Canada;;;;;;;;;;;;;x
CAN_50;Northern Ontario;;;;;;;;;;;;;x
ENG_58;Lower Canada;;;;;;;;;;;;;x
CAN_58;Lower Canada;;;;;;;;;;;;;x
CAN_60;Northern Quebec;;;;;;;;;;;;;x
ENG_68;Maritimes;Nouveau-Brunswick;New Brunswick;;;;;;;;;;;x
ENG_71;Maritimes;;;;;;;;;;;;;x
ENG_74;Newfoundland;Terre-Neuve;Neufundland;;;;;;;;;;;x
FRA_77;Saint Pierre and Miquelon;Saint-Pierre-et-Miquelon;Saint Pierre und Miquelon;;;;;;;;;;;x
USA_78;Washington;Washington;Washington;;;;;;;;;;;x
USA_81;Oregon;Oregon;Oregon;;;;;;;;;;;x
