CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
able;Able;Capable;Fähig;;;;;;;;;;;x
active_p;Active;Actif;Aktiv;;;;;;;;;;;x
adventurer;Adventurer;Aventurier;Abenteurer;;;;;;;;;;;x
aggressive;Aggressive;Agressif;Aggressiv;;;;;;;;;;;x
amateur;Amateur;Amateur;Amateur;;;;;;;;;;;x
ambitious_careerist;Ambitious Careerist;;;;;;;;;;;;;x
apathetic;Apathetic;;;;;;;;;;;;;x
architect;Architect;;;;;;;;;;;;;x
aristocrat;Aristocrat;Aristocrate;Aristokrat;;;;;;;;;;;x
armchair_general;Armchair General;Général de façade;Sesselgeneral;;;;;;;;;;;x
arrogant;Arrogant;Arrogant;Arrogant;;;;;;;;;;;x
artillerist;Artillerist;Artilleur;Artillerist;;;;;;;;;;;x
au_fait;Au Fait;Au fait;Sicher;;;;;;;;;;;x
audacious;Audacious;Audacieux;Kühn;;;;;;;;;;;x
aweless;Aweless;Casse-cou;Respektlos;;;;;;;;;;;x
balanced_p;Balanced;Pondéré;Ausgewogen;;;;;;;;;;;x
ballsy;Ballsy;Valeureux;Forsch;;;;;;;;;;;x
bastard;Bastard;Goujat;Bastard;;;;;;;;;;;x
bigoted;Bigoted;Sectaire;Engstirnig;;;;;;;;;;;x
bold;Bold;Téméraire;Mutig;;;;;;;;;;;x
bootlicker;Bootlicker;Lèche-bottes;Speichellecker;;;;;;;;;;;x
brash;Brash;Impudent;Forsch;;;;;;;;;;;x
brilliant;Brilliant;Brillant;Brilliant;;;;;;;;;;;x
brilliant_strategist;Brilliant Strategist;;;;;;;;;;;;;x
brownnoser;Brownnoser;Lèche-cul;Stiefellecker;;;;;;;;;;;x
brutish;Brutish;Brutal;Brutal;;;;;;;;;;;x
bureaucrat;Bureaucrat;;;;;;;;;;;;;x
bureaucrat_speed;Bureaucrat Speed;Vitesse de bureaucrate;Bürokratische Geschwindigkeit;;;;;;;;;;;x
butcher;Butcher;Boucher;Schlächter;;;;;;;;;;;x
calm;Calm;Calme;Ruhig;;;;;;;;;;;x
careful;Careful;Attentif;Sorgsam;;;;;;;;;;;x
careless;Careless;Négligent;Achtlos;;;;;;;;;;;x
cartographer;Cartographer;Cartographe;Kartograf;;;;;;;;;;;x
cautious;Cautious;Prudent;Vorsichtig;;;;;;;;;;;x
cavalry_school;Cavalry School;École de cavalerie;Kavallerieschule;;;;;;;;;;;x
charismatic;Charismatic;Charismatique;Charismatisch;;;;;;;;;;;x
chickenhearted;Chickenhearted;Poltron;Ängstlich;;;;;;;;;;;x
chivalrous;Chivalrous;Courtois;Ritterlich;;;;;;;;;;;x
choleric;Choleric;Colérique;Cholerisch;;;;;;;;;;;x
clerk;Clerk;;;;;;;;;;;;;x
clever;Clever;Adroit;Clever;;;;;;;;;;;x
clueless;Clueless;Ignorant;Ahnungslos;;;;;;;;;;;x
colonial_b;Colonial;Colonial;Kolonial;;;;;;;;;;;x
colonial_recruit;Colonial Recruit;;;;;;;;;;;;;x
competent;Competent;Compétent;Kompetent;;;;;;;;;;;x
confident;Confident;Confiant;Sicher;;;;;;;;;;;x
cool_minded;Cool-minded;Serein;Bedachtsam;;;;;;;;;;;x
coolminded;Cool-minded;Serein;Bedachtsam;;;;;;;;;;;x
corrupt;Corrupt;Corrompu;Korrupt;;;;;;;;;;;x
coward;Coward;Couard;Kleinmütig;;;;;;;;;;;x
craven;Craven;Veule;Mutlos;;;;;;;;;;;x
cruel;Cruel;;;;;;;;;;;;;x
cursed_luck;Cursed Luck;Malchanceux;Vom Pech verflucht;;;;;;;;;;;x
daring;Daring;Hardi;Draufgängerisch;;;;;;;;;;;x
dauntless;Dauntless;Déterminé;Unverzagt;;;;;;;;;;;x
debutante;Debutante;Débutant;Debütant;;;;;;;;;;;x
decisive;Decisive;;;;;;;;;;;;;x
deeply_religious;Deeply Religious;Très croyant;Tief religiös;;;;;;;;;;;x
defiant;Defiant;Provocateur;Trotzig;;;;;;;;;;;x
diligent;Diligent;;;;;;;;;;;;;x
diplomat;Diplomat;Diplomate;Diplomat;;;;;;;;;;;x
diplomatic;Diplomatic;Diplomate;Diplomatisch;;;;;;;;;;;x
disciplined;Disciplined;Discipliné;Diszipliniert;;;;;;;;;;;x
disgraced;Disgraced;Déshonoré;In Ungnade Gefallener;;;;;;;;;;;x
disorderly;Disorderly;Désordonné;Unordentlich;;;;;;;;;;;x
doughty;Doughty;Vaillant;Tapfer;;;;;;;;;;;x
drillmaster;Drillmaster;Sergent instructeur;Zuchtmeister;;;;;;;;;;;x
dumb;Dumb;;;;;;;;;;;;;x
earnest;Earnest;Sérieux;Ernsthaft;;;;;;;;;;;x
eccentric_genius;Eccentric Genius;Génie excentrique;Exzentrisches Genie;;;;;;;;;;;x
efficient;Efficient;Efficace;Effizient;;;;;;;;;;;x
elder_statesmen;Elder Statesman;;;;;;;;;;;;;x
elderly;Elderly;Âgé;Älter;;;;;;;;;;;x
emotional;Emotional;;;;;;;;;;;;;x
