CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
army_base;Armies;Armées;Armeen;;;;;;;;;;;x
army_base_short;(A);(A);(A);;;;;;;;;;;x
artillery;Artillery;Artillerie;Artillerie;;;;;;;;;;;x
artillery_short;Art;Art.;Art;;;;;;;;;;;x
battleship;Battleship;;Kampfschiff;;;;;;;;;;;x
battleship_short;BB;;;;;;;;;;;;;x
cavalry;Cavalry;Cavalerie;Kavallerie;;;;;;;;;;;x
cavalry_short;Cav;Cav.;Kav;;;;;;;;;;;x
clipper_transport;Clipper Transport;Clipper;Klipper-Transporter;;;;;;;;;;;x
clipper_transport_short;CT;C.;CT;;;;;;;;;;;x
commerce_raider;Commerce Raider;Commerce raider;Handelszerstörer;;;;;;;;;;;x
commerce_raider_short;CR;CR;HP;;;;;;;;;;;x
cruiser;Cruiser;Croiseur;Kreuzer;;;;;;;;;;;x
cruiser_short;CA;Cr.;KR;;;;;;;;;;;x
cuirassier;Cuirassier;Cuirassier;Kürassier;;;;;;;;;;;x
cuirassier_short;Cur;Cuir.;Kür;;;;;;;;;;;x
dragoon;Dragoon;Dragon;Dragoner;;;;;;;;;;;x
dragoon_short;Dra;Dra.;Dra;;;;;;;;;;;x
dreadnought;Dreadnought;Cuirassé lourd;Dreadnought;;;;;;;;;;;x
dreadnought_short;DN;Cuir.L.;DN;;;;;;;;;;;x
engineer;Engineer;Génie;Pionier;;;;;;;;;;;x
engineer_short;Eng;Gén.;Pio;;;;;;;;;;;x
frigate;Frigate;Frégate;Fregatte;;;;;;;;;;;x
frigate_short;FR;FR.;FR;;;;;;;;;;;x
guard;Guard;Garde;Garde;;;;;;;;;;;x
guard_short;Gua;Gar.;Gar;;;;;;;;;;;x
horse_artillery;Mobile Artillery;;;;;;;;;;;;;x
horse_artillery_short;M-art;;;;;;;;;;;;;x
hussar;Hussar;Hussard;Husar;;;;;;;;;;;x
hussar_short;Hus;Hus.;Hus;;;;;;;;;;;x
infantry;Infantry;Infanterie;Infanterie;;;;;;;;;;;x
infantry_short;Inf;Inf.;Inf;;;;;;;;;;;x
ironclad;Ironclad;Patrouilleur;Panzerschiff;;;;;;;;;;;x
ironclad_short;IC;Patr.;IC;;;;;;;;;;;x
irregular;Irregular;Irrégulier;Freischärler;;;;;;;;;;;x
irregular_short;Irr;Irr.;Frsch;;;;;;;;;;;x
manowar;Man-o’-War;Man'o'War;Kriegsschiff;;;;;;;;;;;x
manowar_short;MW;MW.;MW;;;;;;;;;;;x
monitor;Monitor;Patrouilleur lourd;Monitor;;;;;;;;;;;x
monitor_short;MO;Patr.L.;MO;;;;;;;;;;;x
navy_base;Navies;Marines;Flotten;;;;;;;;;;;x
navy_base_short;(N);(M);(F);;;;;;;;;;;x
plane;Airplane;Avion;Flugzeug;;;;;;;;;;;x
plane_short;Air;Av.;Luft;;;;;;;;;;;x
regular;Regular;;;;;;;;;;;;;x
regular_short;Reg;;;;;;;;;;;;;x
steam_transport;Steam Transport;Steamer;Dampf-Transporter;;;;;;;;;;;x
steam_transport_short;ST;S.;DT;;;;;;;;;;;x
submarine;Submarine;;;;;;;;;;;;;x
tank;Armor;Blindé;Panzer;;;;;;;;;;;x
tank_short;Arm;Blin.;Pz;;;;;;;;;;;x
