CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
aborigine;Aborigine;Aborigène;Aborigine;;;;;;;;;;;x
acadian;Acadian;;;;;;;;;;;;;x
acehnese;Atjehnese;Acehnese;Acehnese;;;;;;;;;;;x
afar;Afar;Afar;Afar;;;;;;;;;;;x
african_minor;African Minor;Africain (petits États);Afrikanische Kleinstaaten;;;;;;;;;;;x
afro_american;Afro American;Afro-américain;Afroamerikanisch;;;;;;;;;;;x
afro_antillean;Afro Francais;;;;;;;;;;;;;x
afro_brazilian;Afro Brazilian;Afro-brésilien;Afrobrasilianisch;;;;;;;;;;;x
afro_caribbean;Afro Caribbean;Afro-caraïbe;Afrokaribisch;;;;;;;;;;;x
afro_caribeno;Afro Latino;;;;;;;;;;;;;x
aimara;Aimara;Aymara;Aimara;;;;;;;;;;;x
ainu;Ainu;Aïnou;Ainu;;;;;;;;;;;x
akan;Akan;Akan;Akan;;;;;;;;;;;x
alaskan;Alaskan;;;;;;;;;;;;;x
albanian;Albanian;Albanais;Albanisch;;;;;;;;;;;x
amazonian;Amazonian;Amazonien;Amazonisch;;;;;;;;;;;x
american;American;;;;;;;;;;;;;x
amhara;Amhara;Amharique;Amhara;;;;;;;;;;;x
anglo_african;Anglo African;;;;;;;;;;;;;x
anglo_canadian;Anglo-Canadian;Anglo-canadien;Anglokanadisch;;;;;;;;;;;x
anglo_indian;Anglo-Indian;;;;;;;;;;;;;x
arab;Arab;arabe;Arabien;;;;;;;;;;;x
armenian;Armenian;Arménien;Armenisch;;;;;;;;;;;x
aromanian;Aromanian;;;;;;;;;;;;;x
arpitan;Arpitan;;;;;;;;;;;;;x
ashkenazi;Ashkenazi;Ashkénaze;Aschkenasisch;;;;;;;;;;;x
asian_minor;Asian Minor;Asiatique (Asie mineure);Asiatische Kleinstaaten;;;;;;;;;;;x
assamese;Assamese;Assamais;Assamisch;;;;;;;;;;;x
assyrian;Assyrian;;;;;;;;;;;;;x
australian;Australasian;;;;;;;;;;;;;x
avadhi;Avadhi;Avadhi;Avadhi;;;;;;;;;;;x
azande;Azande;Zandé;Azande;;;;;;;;;;;x
azerbaijani;Azeri;;;;;;;;;;;;;x
baganda;Baganda;Baganda;Baganda;;;;;;;;;;;x
baguirmi;Maban;;;;;;;;;;;;;x
bakongo;Bakongo;Bakongo;Bakongo;;;;;;;;;;;x
balinese;Balinese;Balinese;Balinese;;;;;;;;;;;x
baltic;Baltic;Balte;Baltisch;;;;;;;;;;;x
baluchi;Baluchi;Baloutche;Baluchisch;;;;;;;;;;;x
bambara;Bambara;Bambara;Bambara;;;;;;;;;;;x
banjarnese;Bandjarnese;Banjarnese;Banjarnese;;;;;;;;;;;x
bantenese;Bantenese;Bantenese;Bantenese;;;;;;;;;;;x
basque;Basque;Basque;Baskisch;;;;;;;;;;;x
batak;Batak;Batak;Batak;;;;;;;;;;;x
bedouin;Bedouin;Bédouin;Beduinisch;;;;;;;;;;;x
beifaren;North Han;;;;;;;;;;;;;x
beja;Beja;Bedja;Beja;;;;;;;;;;;x
beneluxian;Low Countries;Pays-Bas;Niederländisch;;;;;;;;;;;x
bengali;Bengali;Bengali;Bengalisch;;;;;;;;;;;x
berber;Berber;Berbère;Berber;;;;;;;;;;;x
betawi;Betawi;Betawi;Betawi;;;;;;;;;;;x
bihari;Bihari;Bihari;Bihari;;;;;;;;;;;x
boer;Afrikaner;;;;;;;;;;;;;x
bolivian;Bolivian;;;;;;;;;;;;;x
bosniak;Bosniak;Bosniaque;Bosnisch;;;;;;;;;;;x
brazilian;Brazilian;Brésilien;Brasilianisch;;;;;;;;;;;x
breton;Breton;Breton;Bretonisch;;;;;;;;;;;x
british;English;;;;;;;;;;;;;x
bulgarian;Bulgarian;Bulgare;Bulgarisch;;;;;;;;;;;x
bunginese;Boeginese;Buginese;Buginese;;;;;;;;;;;x
burmese;Burmese;Birman;Burmesisch;;;;;;;;;;;x
byelorussian;Byelorussian;Biélorusse;Weißrussisch;;;;;;;;;;;x
cajun;Cadien;;;;;;;;;;;;;x
californian_people;Californian Indian;;;;;;;;;;;;;x
caribeno;Caribeno;Caribe;Caribeno;;;;;;;;;;;x
catalan;Catalan;Catalan;Katalanisch;;;;;;;;;;;x
caucasian;Caucasian;;;;;;;;;;;;;x
central_african;Central African;Centre-africain;Zentralafrikanisch;;;;;;;;;;;x
central_american;Central American;Centre-américain;Mittelamerikanisch;;;;;;;;;;;x
cham;Cham;;;;;;;;;;;;;x
chechen;Chechen;;;;;;;;;;;;;x
cherokee;Cherokee;Cherokee;Cherokee;;;;;;;;;;;x
chewa;Chewa;Chichewa;Chewa;;;;;;;;;;;x
cheyenne;Cheyenne;;;;;;;;;;;;;x
chilean;Chilean;;;;;;;;;;;;;x
chokwe;Chokwe;;;;;;;;;;;;;x
circassian;Circassian;;;;;;;;;;;;;x
comanche;Comanche;;;;;;;;;;;;;x
cree;Cree;Cri;Cree;;;;;;;;;;;x
croat;Croatian;Croate;Kroatisch;;;;;;;;;;;x
cushitic;Cushitic;;;;;;;;;;;;;x
czech;Czech;Tchèque;Tschechisch;;;;;;;;;;;x
dagestani;Dagestani;;;;;;;;;;;;;x
dakota;Dakota;;;;;;;;;;;;;x
danish;Danish;Danois;Dänisch;;;;;;;;;;;x
dayak;Dajak;Dayak;Dayak;;;;;;;;;;;x
dinka;Dinka;Dinka;Dinka;;;;;;;;;;;x
dixie;Dixie;Dixie;Dixie;;;;;;;;;;;x
druze;Druze;;;;;;;;;;;;;x
dutch;Dutch;Néerlandais;Niederländisch;;;;;;;;;;;x
dyula;Dyula;Dioula;Dyula;;;;;;;;;;;x
east_kwa;Kwa;;;;;;;;;;;;;x
edo;Edo;Edo;Edo;;;;;;;;;;;x
estonian;Estonian;Estonien;Estnisch;;;;;;;;;;;x
ewe;Ewe;Ewe;Ewe;;;;;;;;;;;x
fang;Fang;Fang;Fang;;;;;;;;;;;x
filipino;Filipino;Philippin;Filipino;;;;;;;;;;;x
finnish;Finnish;Finlandais;Finnisch;;;;;;;;;;;x
flemish;Flemish;Flamand;Flämisch;;;;;;;;;;;x
fon;Fon;Fon;Fon;;;;;;;;;;;x
forest_bantu;Northwest Bantu;;;;;;;;;;;;;x
french;French;Français;Französisch;;;;;;;;;;;x
french_australian;Australien;;;;;;;;;;;;;x
french_canadian;French-Canadien;Franco-canadien;Frankokanadisch;;;;;;;;;;;x
frisian;Frisian;;;;;;;;;;;;;x
fulbe;Fulbe;Fulbe;Fulbe;;;;;;;;;;;x
fur;Fur;Fur;Fur;;;;;;;;;;;x
galician;Galician;;;;;;;;;;;;;x
galicio_asturian;Galicio-Asturian;Galicio-Asturien;Galicisch-Asturisch;;;;;;;;;;;x
gaoshan;Gaoshan;;;;;;;;;;;;;x
georgian;Georgian;Géorgien;Georgisch;;;;;;;;;;;x
german;German;;;;;;;;;;;;;x
germanic;Germanic;Germanique;Germanisch;;;;;;;;;;;x
great_basin_peoples;Great Basin Indian;;;;;;;;;;;;;x
greek;Greek;Grec;Griechisch;;;;;;;;;;;x
griqua;Cape Coloured;;;;;;;;;;;;;x
guajiro;Wayuu;;;;;;;;;;;;;x
guarani;Guarani;Guarani;Guarani;;;;;;;;;;;x
gujarati;Gujarati;Gujrati;Gujarati;;;;;;;;;;;x
gur;Gur;;;;;;;;;;;;;x
gypsy;Roma;;;;;;;;;;;;;x
hakka;Hakka;Hakka;Hakka;;;;;;;;;;;x
han;Han;;;;;;;;;;;;;x
hanhui;Hui;;;;;;;;;;;;;x
harari;Harari;;;;;;;;;;;;;x
hausa;Hausa;Haoussa;Hausa;;;;;;;;;;;x
hawaiian;Hawaiian;Hawaïen;Hawaiianisch;;;;;;;;;;;x
hazara;Hazara;Hazaréen;Hazara;;;;;;;;;;;x
hema;Hema;;;;;;;;;;;;;x
herero;Herero;Héréro;Herero;;;;;;;;;;;x
hindustani;Hindustani;;;;;;;;;;;;;x
hui;Hui;;;;;;;;;;;;;x
hungarian;Hungarian;Hongrois;Ungarisch;;;;;;;;;;;x
ibadi;Ibadi;;;;;;;;;;;;;x
iberian;Iberian;Ibérique;Iberisch;;;;;;;;;;;x
ibibio;Ibibio;Ibibio;Ibibio;;;;;;;;;;;x
ibo;Ibo;Ibo;Ibo;;;;;;;;;;;x
icelandic;Icelandic;Islandais;Isländisch;;;;;;;;;;;x
inuit;Inuit;Inuit;Inuit;;;;;;;;;;;x
irish;Irish;Irlandais;Irisch;;;;;;;;;;;x
italian;Italian;Italien;Italienisch;;;;;;;;;;;x
itsekari;Ijaw;;;;;;;;;;;;;x
japanese;Japanese;Japonais;Japanisch;;;;;;;;;;;x
javan;Javan;Javanais;Javanisch;;;;;;;;;;;x
kachin;Kachin;Kachin;Kachin;;;;;;;;;;;x
kalash;Kalash;;;;;;;;;;;;;x
kanauji;Kanauji;Kanauji;Kanauji;;;;;;;;;;;x
kannada;Kannada;Kannara;Kannada;;;;;;;;;;;x
kanuri;Kanuri;Kanuri;Kanuri;;;;;;;;;;;x
karen;Karen;Karen;Karen;;;;;;;;;;;x
kashmiri;Kashmiri;Kashmiri;Kaschmirisch;;;;;;;;;;;x
kavango;Kavango-Kimbundu;;;;;;;;;;;;;x
kazak;Kazak;Kazak;Kasachisch;;;;;;;;;;;x
kefficho;Omotic;;;;;;;;;;;;;x
khmer;Khmer;Khmer;Khmer;;;;;;;;;;;x
khmu;Khmu;;;;;;;;;;;;;x
khoisan;Khoisan;Khoïsan;Khoisan;;;;;;;;;;;x
kikuyu;Kikuyu–Kamba;;;;;;;;;;;;;x
