CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
aristocrats;Landowners;;;;;;;;;;;;;x
artisans;Artisans;;;;;;;;;;;;;x
bureaucrats;Bureaucrats;;;;;;;;;;;;;x
capitalists;Capitalists;;;;;;;;;;;;;x
clergymen;Intellectuals;Membres du clergé;Geistliche;;;;;;;;;;;x
clerks;Clerks;;;;;;;;;;;;;x
craftsmen;Craftsmen;;;;;;;;;;;;;x
farmers;Farmers;;;;;;;;;;;;;x
labourers;Labourers;;;;;;;;;;;;;x
officers;Officers;;;;;;;;;;;;;x
serfs;Serfs;;;;;;;;;;;;;x
slaves;Slaves;;;;;;;;;;;;;x
soldiers;Soldiers;;;;;;;;;;;;;x
