code;ENGLISH.;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
13in_main_battery;Our dreadnoughts are now equipped with 13.5-inch main guns, rather than 12-inch guns. This gives them more firepower.;;;;;;;;;;;;;x
13in_main_battery_desc;The main armament of the first dreadnoughts consisted in most cases of 12-inch or 13.5-inch guns, but modern navies soon began to desire a larger calibre main armament. This resulted in later battleships being armed with 15-inch or 16-inch main guns, which had significantly greater destructive power and range than their predecessors.;;;;;;;;;;;;;x
15_inch_main_armament;Artillery weapons have become even larger, and capable of delivering even larger ordinance. These weapons are the future of modern warfare.;Armement principal 15 pouces;15-Zoll-Hauptgeschütze;;;;;;;;;;;x
15_inch_main_armament_desc;Pre-dreadnought battleships adopted heavier and heavier secondary guns in accordance with the ‘hail of fire’ principle. The same guns served as the main armament for armoured cruisers.;;Die Hauptbewaffnung der ersten Dreadnoughts bestand meistens aus 12- oder 13,5-Zoll-Geschützen, moderne Seestreitkräfte verlangte es aber schon bald nach einer großkalibrigeren Hauptbewaffnung. Dies führte dazu, dass spätere Schlachtschiffe mit 15- oder 16-Zoll-Hauptgeschützen bewaffnet wurden, die weitaus größere Zerstörungskraft und Reichweite als ihre Vorgänger hatten.;;;;;;;;;;;x
76_millimeter_gun;Pre-dreadnought battleships adopted heavier and heavier secondary guns in accordance with the ‘hail of fire’ principle. The same guns served as the main armament for armoured cruisers.;;;;;;;;;;;;;x
76_millimeter_gun_desc;Abraham Harold Maslow was an American psychologist who was best known for creating Maslow’s hierarchy of needs, a theory of psychological health predicated on fulfilling innate human needs in priority, culminating in self-actualization. Maslow was a psychology professor at Brandeis University, Brooklyn College, New School for Social Research and Columbia University. He stressed the importance of focusing on the positive qualities in people, as opposed to treating them as a ‘bag of symptoms.’.;;;;;;;;;;;;;x
8in_secondary_guns;Our academia is in a state of disarray, following a paradigm shift within our academic establishment. Our prestige and research will be hampered while the effect lasts.;;;;;;;;;;;;;x
8in_secondary_guns_desc;This meant that to become an officer it was no longer enough to be of gentle blood. You also had to attend a formal education which could at best be as good as any college. This was one of the most important causes behind the professionalization of the officers corps.;;;;;;;;;;;;;x
9in_secondary_guns;It was discovered in the early Twentieth Century that the addition of the organic compound aniline produced an accelerating effect. The active zinc salts in the aniline react strongly with the zinc oxide present in sulphur-vulcanized rubber to decrease the cure time necessary. Other compounds were later used that provided even faster cure times.;;;;;;;;;;;;;x
9in_secondary_guns_desc;Ad-Hoc Money Bill Printing.;;;;;;;;;;;;;x
abraham_maslow;You’ve got a ship, you’ve got a ship, and you’ve got a ship, we’ve all got a ship!;;;;;;;;;;;;;x
abraham_maslow_desc;Adam Smith was a Scottish Enlightenment philosopher of political economy. He was author of The Theory of Moral Sentiments and An Inquiry into the Nature and Causes of the Wealth of Nations. Smith promoted the central tenement of Capitalism as the individual pursuing his own self-interest, and in so doing, promoting the greater good. He talked about the ‘invisible hand’ that would guide the actions of individuals and argued against government interference in all but a few aspects of the economy.;;;;;;;;;;;;;x
academic_confusion;Although one of the more active members of Schmoller’s Verein, Wagner actually supported Menger in the Methodenstreit. His work on public finance is what he is best known for in economics. Outside economics, he was a companion of Lassalle and Rodbertus—although not sharing wholly in their socialist ideals and of more conservative instincts in political matters, Wagner was a severe critic of unfettered capitalism and recommended state alleviation of the burden upon labour. He wrote ‘Science of Finance Vol 1–4’ (1877–1901), and ‘Foundations of Political Economy’ (1876).;Confusion académique;Akademisches Durcheinander;;;;;;;;;;;x
academic_confusion_desc;In the immediate aftermath of the First World War, many battlecruisers under construction were scrapped or converted to aircraft cruisers. Those battlecruisers that remained were refitted with improved main armament and enhanced armour protection.;Notre académie est en proie à la panique à la suite d'un changement paradigmatique au sein de notre effectif. Tant que cela durera, notre prestige et notre recherche en pâtiront.;Nach einem Paradigmenwechsel in unserem Bildungsministerium ist unsere akademische Welt in einem Zustand totalen Durcheinanders. Solange dieser Effekt anhält, leiden unser Prestige und unsere Forschung darunter.;;;;;;;;;;;x
academic_training;The experiences of the First World War lead to a series of design improvements for battleships, including a more effective use of armour protection to defend against plunging fire, improved protection against torpedoes, the widespread use of oil-driven propulsion, and further refinements in armament and fire control. Though few battleships were constructed in the first years after the First World War, due to economic constraints and treaty limitations, existing battleships were refitted to incorporate these advances in design.;École navale;Akademische Ausbildung;;;;;;;;;;;x
academic_training_desc;By the early 1920s cruiser design focussed on two main types: light cruisers, generally with 6-inch main armament, and heavy cruisers, generally with 8-inch main armament. Their primary roles were fleet support in combination with destroyers, defence of sea lanes, and raiding.;Il ne suffisait plus d'avoir le sang bleu pour devenir officier. Il fallait également suivre une formation spéciale qui pouvait au mieux égaler celle d'une université. Ceci a été l'un des éléments majeurs de la professionnalisation du corps des officiers.;Dies bedeutete, dass es für eine Offizierslaufbahn nicht länger ausreichte, aus einer Adelsfamilie zu stammen. Vielmehr musste man auch über eine formelle Ausbildung verfügen, die möglichst Universitätsniveau hatte. Dies war einer der wichtigsten Hintergründe für die Professionalisierung des Offizierskorps.;;;;;;;;;;;x
accelerated_vulcanization;The evolution of the submarine into a potent threat to warships and merchant ships alike resulted in the evolution of destroyers to assume the primary role for defending against them, as opposed to their former role of defending the main battle fleet from torpedo boats. Thus, the first years after the First World War saw improvements in destroyer design that aimed to enhance their ability to find and sink submarines, such as the implementation and refinement of SONAR.;;;;;;;;;;;;;x
accelerated_vulcanization_desc;New methods of pumping oil from the ground are becoming available, meaning that oil can be harvested in a far more efficient manner.;;;;;;;;;;;;;x
ad_hoc_money_bill_printing;Advances in main armament and warship construction resulted in capital ships with more and larger main guns, capable of firing shells over great distances. It became increasingly important to simultaneously develop advanced methods of measuring where shells landed and deriving, from these observations, accurate measurements of where the main guns should be aimed in order to achieve hits on enemy warships.;Émission monétaire selon besoins;Ad-Hoc-Notenpressung;;;;;;;;;;;x
ad_hoc_money_bill_printing_desc;As our country’s familiarity with machinery production grows, so too does the development of new techniques in producing machine parts advance. Already new methods have been introduced which reduce the reliance on human labour in order to produce industrial parts.;Émission monétaire selon besoins;Ad-Hoc-Notenpressung;;;;;;;;;;;x
ad_hoc_naval_design;Advanced Metallurgy.;;;;;;;;;;;;;x
ad_hoc_naval_design_desc;Advanced Naval Design.;;;;;;;;;;;;;x
adam_smith;This process cleaned the ore from by products that tended to defect the latter finished metal. By using this technique, the finished metal would have higher quality, durability and because of the large quantity turnover lower price.;;;;;;;;;;;;;x
adam_smith_desc;This process cleaned the ore from by products that tended to defect the latter finished metal. By using this technique, the finished metal would have higher quality, durability and because of the large quantity turnover lower price.;;;;;;;;;;;;;x
adolph_wagner;This process cleaned the ore from by products that tended to defect the latter finished metal. By using this technique, the finished metal would have higher quality, durability and because of the large quantity turnover lower price.;;;;;;;;;;;;;x
adolph_wagner_desc;We have perfected small arms manufacturing to an artform.;;;;;;;;;;;;;x
advanced_battlecruisers;The lessons learned from submarine warfare during the First World War were applied to submarine construction in the 1920s and 1930s, further enhancing the submarine as a weapon of naval warfare.;Croiseurs cuirassés avancés;Fortschrittliche Schlachtkreuzer;;;;;;;;;;;x
advanced_battlecruisers_desc;Fore!;Au lendemain de la Première Guerre mondiale, de nombreux croiseurs cuirassés en cours de construction furent mis au rebut ou transformés en croiseurs. Les croiseurs cuirassés restants furent dotés d'un armement et d'un blindage renforcés.;Kurz nach dem Ende des ersten Weltkriegs wurden viele im Bau befindliche Schlachtkreuzer verschrottet oder zu Flugzeugkreuzern umgebaut. Die verbliebenen Schlachtkreuzer wurden mit besseren Geschützen und Panzerungen modernisiert.;;;;;;;;;;;x
advanced_battleships;The discovery of aerial bacteria and the development of antiseptics revolutionized life for humanity. No longer open wounds meant amputation or death, but infections even fevers could be cured with medicine.;Cuirassés avancés;Fortschrittliche Schlachtschiffe;;;;;;;;;;;x
advanced_battleships_desc;The use of aircraft in the close air support of ground forces dates back to World War I, the first significant use of aerial units in warfare. Air warfare, and indeed aviation itself, was still in its infancy—and the direct effect of rifle calibre machine guns and light bombs of World War I aircraft was very limited compared with the power of a World War II fighter bomber, but close support aircraft still had a powerful psychological impact.;;Die im ersten Weltkrieg gesammelten Erfahrungen führten zu einer Reihe von Verbesserungen am Schlachtschiff-Design. Dazu gehörten der verbesserte Einsatz von Panzerschutz gegen Steilfeuer, besserer Torpedoschutz, die ausgedehnte Verwendung von Verbrennungsmotoren und weitere Verbesserungen in den Bereichen Bewaffnung und Feuerleitsysteme. Obwohl in den ersten Jahren nach dem ersten Weltkrieg wegen der allgemeinen Wirtschaftslage und vertraglicher Einschränkungen nur wenige Schlachtschiffe gebaut wurden, modernisierte man bereits existierende Schlachtschiffe mit diesen Neuerungen.;;;;;;;;;;;x
advanced_cruisers;Research shows that putting a cap of soft metal over the point of an armour-piercing shell makes it more effective. However, this makes the shell less aerodynamic. So, on top of that cap we now put another light steel cap to preserve the aerodynamics of the shell. This all means our battleships have unprecedented armour-piercing power at very long ranges.;Croiseurs avancés;Fortschrittliche Kreuzer;;;;;;;;;;;x
advanced_cruisers_desc;Aeronautics.;;Anfang der 1920er Jahre gab es prinzipiell zwei Kreuzertypen: leichte Kreuzer mit 6-Zoll-Geschützen als Hauptbewaffnung, und schwere Kreuzer mit 8-Zoll-Geschützen. Ihre Primärrollen waren die Flottenunterstützung zusammen mit den Zerstörern, die Verteidigung von Seestraßen und der Überfall auf Handelsschiffe.;;;;;;;;;;;x
advanced_destroyers;This area involves the development and refinements in Literature, Art and Music.;Destroyers avancés;Fortschrittliche Zerstörer;;;;;;;;;;;x
