CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABANDON_GAME;Abandon Game;Abandonner la partie;Spiel aufgeben;;Nada;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
accept;Accept;Confirmer;Annehmen;Przekaz SI;IA;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACT_NO_SELF;We cannot negotiate with ourselves.;Nous ne pouvons pas négocier avec nous-mêmes.;Wir können nicht mit uns selbst verhandeln.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACT_WARDESC;Declaring war will allow our troops to attack theirs and allow us to enter their country. War will continue until either party surrenders.;Une déclaration de guerre permettra à nos troupes d'attaquer les leurs et d'entrer dans leur pays. La guerre se poursuivra jusqu'à la capitulation d'une des parties.;Eine Kriegserklärung erlaubt unseren Truppen den Einmarsch in ihr Gebiet und den Angriff auf ihre Truppen. Der Krieg hält so lange an, bis eine der beiden Kombattanten kapituliert.;Nie mo¿esz wypowiedzieæ wojny pañstwu, z którym masz podpisany sojusz. Najpierw wyjdŸ z sojuszu.;No puedes declarar la guerra a un país con el que estás aliado. Primero has de romper la alianza.;Non puoi dichiarare guerra a una nazione con cui sei alleato. Devi prima annullare l'alleanza.;Nem indíthatsz olyan ország ellen háborút, amellyel szövetségben állsz. Elõször szakítsd meg a szövetséget.;Nemùžete vyhlásit válku zemi, která je vaším spojencem. Nejprve musíte zrušit alianci.;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACTIVATE_GOODS;Activate:;Activer :;Aktivieren:;;Velocidad de reparación;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACTIVATE_TECH_EFFECT;Activate technology: §Y$NAME$§!;Activer la technologie §Y$NAME$§!;Technologie aktivieren: §Y$NAME$§!;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACTUAL_BOUGHT;Actual bought: $VAL$;Achats réels : $VAL$;Tatsächlich gekauft: $VAL$;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACW_DESC;Civil war rages in North America as the Confederate States attempt to secede from the Union. The outcome is uncertain, but already this promises to be a new type of war as both sides have access to railroads, telegraphs, and repeating rifles. Meanwhile, in Europe, Great Britain is experimenting with the first iron-hulled steam-driven warship, a combination which promises to revolutionise the war at sea. World-wide the industrial revolution is gathering speed as more and more nations start to industrialise. The times they are a-changing.;La Guerre Civile fait rage en Amérique du Nord alors que les États Confédérés tentent de faire sécession de l'Union. Le dénouement est incertain, mais avec l'accès qu'ont les deux camps aux chemins de fer, aux télégraphes et aux fusils à répétition, ce sera une guerre d'un nouveau type. Pendant ce temps, en Europe, la Grande-Bretagne est en train d’expérimenter le premier navire de guerre avec coque en acier et propulsion à vapeur, combinaison qui promet de révolutionner le cours de la guerre navale. Dans le monde entier, la révolution industrielle gagne du terrain et de plus en plus de pays commencent à s'industrialiser. Les temps changent…;Der Sezessionskrieg tobt in Nordamerika, da die konföderierten Staaten versuchen, sich von der Union abzuspalten. Der Ausgang ist ungewiss, doch es verspricht schon jetzt eine neue Art des Krieges zu werden, da beide Seiten Zugriff auf Eisenbahn, Telegram;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACW_NAME;A House Divided;Une Maison Divisée;Ein geteiltes Haus;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAPTING_HISTORY;Adapting History…;Adaptation de l'Histoire…;Geschichte wird angepasst …;Przystosowywanie historii…;Adaptando historia…;Adattamento storia in corso…;Történelmi fájlok betöltése…;Adaptace historie…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
