;red;green;blue;x;x
1;204;229;152;Novo-Arkhangelsk;x
2;204;179;153;Redut Sent-Dionisiya;x
3;153;230;153;Pavlovskaya Gavan;x
4;192;0;0;Fort Nikolaevskaia;x
5;192;0;128;Redut Sent-Maykl;x
6;153;179;153;Klondike River;x
7;192;128;128;Pelly River;x
8;179;204;153;Kuala Kelantan;x
9;128;64;128;Fort Mistassini;x
10;64;128;128;San Khew Jong;x
11;119;210;74;Fort Resolution;x
12;119;128;199;Liwa;x
13;96;64;192;Fort Langley;x
14;201;169;171;Vancouver Island;x
15;224;64;192;Fort McLaughlin;x
16;224;192;192;Fort St. James;x
17;0;64;128;Teslin Post;x
18;153;230;204;Fort St. John;x
19;192;160;0;Fort George;x
20;179;217;153;Fort Thompson;x
21;179;166;153;Kootenay House;x
22;192;160;128;Fort Assiniboine;x
23;192;64;0;Fort McMurray;x
24;63;85;151;Milk River;x
25;128;160;128;Old Bow River Fort;x
26;0;224;0;Rocky Mountain House;x
27;81;141;79;Fort Vermilion;x
28;122;120;79;Fort Simpson;x
29;128;224;0;Kyzylkum;x
30;128;32;64;Burning Hills;x
31;192;96;0;Fort Fond du Lac;x
32;192;96;128;Cumberland House;x
33;128;96;128;Cartlon House;x
34;192;224;128;Fort Qu’Apelle;x
35;128;224;128;Fort Pitt;x
36;74;142;210;Buffalo Point;x
37;128;32;192;Fort Alexander;x
38;64;224;0;Fuerte Santa Maria;x
39;192;224;0;Santo Tomás;x
40;122;143;170;Cedar Lake House;x
41;0;160;64;Fort Ellice;x
42;128;160;64;Selkirk Settlement;x
43;192;64;128;Clarksville;x
44;70;70;122;Guantanámo;x
45;0;0;192;Marigot;x
46;48;128;64;Toronto;x
47;64;96;0;Fort Severn;x
48;192;160;192;Fort Albany;x
49;130;123;117;Fort William;x
50;64;32;192;Nipigon House;x
51;48;128;192;Sault Ste. Marie;x
52;176;128;192;Orillia;x
53;176;0;64;Barrie;x
54;0;96;64;Windsor;x
55;176;128;64;Hamilton;x
56;116;74;122;Kingston;x
57;176;0;192;Bytown;x
58;208;64;192;Montreal;x
59;176;210;74;York Factory;x
60;128;224;64;Richmond;x
61;128;224;192;Tadoussac;x
62;192;96;64;Seven Islands;x
63;48;0;192;Fort Lake St. John;x
64;240;192;128;Three Rivers;x
65;176;192;192;Quebec City;x
66;152;117;121;Sherbrooke;x
67;240;64;192;Rimouski;x
68;240;192;64;Fredericton;x
69;112;64;192;Little Falls;x
70;112;192;64;Prince Edward Island;x
71;240;64;64;Halifax;x
72;128;96;192;Truro;x
73;192;96;192;Cape Breton Island;x
74;209;215;159;St. John’s;x
75;16;160;0;Little Macatina;x
76;0;96;192;North West River;x
77;74;146;55;Saint-Pierre-et-Miquelon;x
78;0;160;0;Fort Nisqually;x
79;32;192;192;Fort Vancouver;x
80;160;64;192;Fort Nez Percés;x
81;128;160;0;Fort Astoria;x
82;160;192;192;Klamath;x
83;224;224;224;Fort Umpqua;x
84;16;128;128;Wiyot;x
85;16;128;0;Cabo Mednocino;x
86;144;128;0;Sierra Nevada;x
87;144;128;128;Monterey;x
88;134;75;69;Desierto de Mojave;x
89;208;0;0;Los Angeles;x
90;80;128;0;San Diego;x
91;115;85;191;Fort Hall;x
92;64;32;128;Fort Boisé;x
93;208;0;128;Western Bannock;x
94;109;100;92;Washo;x
95;16;192;0;Isogwiyuyugi;x
96;204;24;24;Las Vegas;x
97;144;64;0;Timpanogos;x
98;86;118;81;Barbones;x
99;208;128;128;Yutas Occidentales;x
100;16;64;128;Gileños;x
101;144;192;0;Gran Cañón;x
102;208;128;0;Presidio de Tucsón;x
103;80;64;128;Fuerte Talpa;x
104;192;48;128;Presidio de San Francisco;x
105;64;176;128;Santa Fe;x
106;208;64;0;Bent’s Fort;x
107;80;192;0;Shoshónes Occidentales;x
108;208;192;0;Yutas Orientales;x
109;144;64;64;Zuñi;x
110;16;192;128;Shoshónes Río Viento;x
111;134;115;72;Fort Bonneville;x
112;144;192;128;Fort Laramie;x
113;80;128;128;Eastern Bannock;x
114;192;32;128;Flathead House;x
115;0;96;128;Blackfoot;x
116;144;64;128;Crow;x
117;208;0;192;Fort Mandan;x
118;0;32;192;Fort Pembina;x
119;80;128;192;Fort Union;x
120;132;75;214;Sieche Hollow;x
121;208;128;192;Hunkpapa;x
122;94;120;119;Fort Pierre Chouteau;x
123;16;192;64;Fontenelle’s Post;x
124;208;128;64;Ponca Fort;x
125;144;192;64;Pawnee;x
126;144;64;192;Fort Leavenworth;x
127;16;64;192;Kansa;x
128;16;192;192;Osage;x
129;144;192;192;Kiowa;x
130;122;112;123;Fort Gibson;x
131;192;48;64;Cross Timbers;x
132;128;48;64;Houston;x
133;0;176;64;San Filepe de Austin;x
134;128;176;192;Fort Parker;x
135;0;176;192;Pueblos;x
136;208;128;112;Comanchería;x
137;128;176;64;San Antonio de Bexár;x
138;0;48;192;Laredo;x
139;76;108;123;New Orleans;x
140;79;163;196;Baton Rouge;x
141;192;240;128;St. Landry;x
142;192;112;128;Shreveport;x
143;192;240;0;Little Rock;x
144;64;112;128;Arkansas Post;x
145;64;240;0;Hot Springs;x
146;208;0;64;St. Louis;x
147;208;64;128;Springfield;x
148;80;192;128;Cape Girardeau;x
149;80;128;64;Jefferson City;x
150;132;72;126;Columbia;x
151;144;128;192;Council Bluffs;x
152;16;128;192;Iowa City;x
153;144;0;192;Dubuque;x
154;74;95;122;Yankton;x
155;90;74;121;Pig’s Eye;x
156;16;0;192;Fort Snelling;x
157;0;160;192;Fort Skene;x
158;208;192;128;Grand Portage;x
159;208;192;64;Milwaukee;x
160;208;64;64;Ojibwe;x
161;128;160;192;Fort Howard;x
162;144;0;64;Madison;x
163;16;128;64;Chicago;x
164;80;192;64;Galena;x
165;128;96;0;Urbana;x
166;64;160;128;Peoria;x
167;144;128;64;Vandalia;x
168;0;160;128;Shawneetown;x
169;240;64;128;Indianapolis;x
170;112;128;64;Evansville;x
171;153;119;165;South Bend;x
172;192;32;0;Fort Wayne;x
173;112;192;0;Detroit;x
174;148;215;186;Lansing;x
175;64;224;128;Saginaw;x
176;240;192;0;Grand Traverse;x
177;112;0;64;Fort Mackinac;x
178;0;0;144;Cleveland;x
179;112;64;0;Columbus;x
180;208;192;192;Toledo;x
181;240;64;0;Dayton;x
182;176;192;128;Cincinnati;x
183;108;210;165;Marietta;x
184;240;0;64;Louisville;x
185;176;64;128;Barbourville;x
